COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code de la zone géographique;320;Feurs;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;321;Évron;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;322;Freyming-Merlebach (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;323;Saint-Flour;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;324;Brioude;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;325;Uzès;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;326;Joigny;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;327;Limoux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;328;Loches;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;329;Moissac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;330;Decazeville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;331;Ambert;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;332;Mauges-sur-Loire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;333;Louhans;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;334;Valréas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;335;Tournon-sur-Rhône;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;336;Paray-le-Monial;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;337;Chantonnay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;338;Champagnole;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;339;Revel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;340;Lavelanet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;341;Bollène;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;342;Crest;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;343;Sisteron;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;344;Bourg-Saint-Maurice;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;345;Pézenas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;346;Verneuil d'Avre et d'Iton;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;347;Loudun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;348;Le Blanc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;349;Sainte-Maxime;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;350;Gérardmer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;351;La Ferté Macé;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;352;Honfleur;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;353;Crozon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;354;Jonzac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;355;Lesparre-Médoc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;356;Castelsarrasin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;357;Belleville-en-Beaujolais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;358;Carentan-les-Marais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;359;Vaison-la-Romaine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;360;Pineuilh;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;361;Nérac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;362;Doué-en-Anjou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;363;Prades;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;364;La Tour-du-Pin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;365;Châtillon-sur-Seine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;366;Tonneins;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;367;Graulhet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;368;Wissembourg (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;369;Surgères;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;370;Decize;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;371;Bormes-les-Mimosas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;372;Commercy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;373;Barbezieux-Saint-Hilaire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;374;Tarare;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;375;Saint-Vallier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;376;Pont-Saint-Esprit;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;377;Montpon-Ménestérol;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;378;Hesdin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;379;Maîche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;380;Avesnes-sur-Helpe;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;381;Montval-sur-Loir;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;382;Montmorillon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;383;Clamecy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;384;Saint-Gervais-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;385;Fumel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;386;Ruffec;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;387;Essarts-en-Bocage;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;388;Saint-Yrieix-la-Perche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;389;Bar-sur-Aube;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;390;Yssingeaux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;391;Blaye;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;392;Semur-en-Auxois;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;393;Saint-Chély-d'Apcher;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;394;Auray;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;395;Dives-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;396;Valence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;397;Sézanne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;398;Bagnères-de-Bigorre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;399;Saint-Martin-de-Crau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;400;Gournay-en-Bray;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;401;Roye;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;402;Le Cateau-Cambrésis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;403;Aubigny-sur-Nère;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;404;Saint-Affrique;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;405;Cogolin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;406;Condom;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;407;Mazamet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;408;Chamonix-Mont-Blanc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;409;Lillebonne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;410;Gourdon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;411;Pouzauges;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;412;Nyons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;413;Nogent-sur-Seine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;414;Corte;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;415;Tonnerre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;416;Digoin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;417;Givet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;418;Mortagne-au-Perche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;419;Aubusson;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;420;La Côte-Saint-André;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;421;Aire-sur-l'Adour;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;422;Hauts de Bienne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;423;Moûtiers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;424;Jarny;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;425;Ribérac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;426;Delle (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;427;Embrun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;428;Sully-sur-Loire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;429;Saint-Florentin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;430;Calvi;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;431;Guer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;432;Vidauban;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;433;Baugé-en-Anjou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;434;Nontron;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;435;La Souterraine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;436;Gueugnon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;437;Beaurepaire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;438;Valdahon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;439;Marennes-Hiers-Brouage;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;440;La Réole;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;441;Saint-Hilaire-du-Harcouët;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;442;Montbard;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;443;Lodève;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;444;Le Pouliguen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;445;Pauillac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;446;Tournus;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;447;La Châtaigneraie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;448;Mirecourt;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;449;Sainte-Menehould;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;450;Ham;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;451;Le Thillot;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;452;La Châtre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;453;Saint-Jean-de-Monts;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;454;Saint-Maixent-l'École;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;455;Mimizan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;456;Bazas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;457;Montrichard Val de Cher;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;458;Ciboure;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;459;Saint-Rémy-de-Provence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;460;Saint-Pourçain-sur-Sioule;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;461;Faulquemont;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;462;Ernée;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;463;La Londe-les-Maures;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;464;La Tremblade;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;465;Vouziers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;466;Guise;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;467;Le Vigan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;468;Die;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;469;Rostrenen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;470;Mamers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;471;Bort-les-Orgues;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;472;Montdidier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;473;Migennes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;474;La Guerche-de-Bretagne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;475;Rambervillers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;476;Merville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;477;Le Mené;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;478;Saint-Éloy-les-Mines;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;479;Joinville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;480;Les Andelys;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;481;Sainte-Marie-aux-Mines;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;482;Saint-Valery-en-Caux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;483;Hagetmau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;484;Neufchâtel-en-Bray;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;485;Mauléon-Licharre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;486;Marvejols;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;487;Melle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;488;Confolens;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;489;Le Neubourg;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;490;Céret;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;491;Bapaume;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;492;Saint-Tropez;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;493;Villedieu-les-Poêles-Rouffigny;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;494;Le Nouvion-en-Thiérache;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;495;L'Île-Rousse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;496;Mourenx;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;497;Soustons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;498;Craon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;499;Égletons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;500;Poligny;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;501;Bouzonville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;502;Saint-Palais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;503;Le Cheylard;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;504;Saint-Chamas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;505;Lagnieu;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;506;Gramat;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;507;Condé-en-Normandie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;508;Farébersviller;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;509;Baccarat;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;510;Valgelon-La Rochette;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;511;Bellac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;512;Port-Saint-Louis-du-Rhône;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;513;La Flotte;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;514;Bourbon-Lancy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;515;Mauriac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;516;Château-Arnoux-Saint-Auban;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;517;Bitche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;518;Argelès-Gazost;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;519;Casteljaloux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;520;Le Pont-de-Beauvoisin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;521;Souillac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;522;Forcalquier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;523;Saint-Jean-Pied-de-Port;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;524;Châtillon-sur-Chalaronne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;525;Saint-Méen-le-Grand;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;526;Baud;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;527;Dieuze;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;528;Espalion;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;529;Bagnères-de-Luchon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;530;Gannat;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;531;Châteauneuf-du-Faou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;532;Chauffailles;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;533;Pontorson;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;534;Brienne-le-Château;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;535;Brou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;536;Saint-Vincent-de-Tyrosse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;537;Sarre-Union;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;538;Pluvigner;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;539;Argenton-sur-Creuse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;540;Propriano;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;541;Morhange;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;542;Thiviers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;543;Eauze;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;544;Machecoul-Saint-Même;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;545;Montmirail;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;546;Langeac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;547;Fruges;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;548;Saint-Mihiel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;549;Cavalaire-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;550;Morzine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;551;Josselin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;552;Charmes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;553;Thizy-les-Bourgs;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;554;La Loupe;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;555;Saint-Satur - Sancerre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;556;Pleslin-Trigavou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;557;Locminé;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;558;Uzerche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;559;Rouffach;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;560;Gaillon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;561;Longué-Jumelles;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;562;Vervins;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;563;La Charité-sur-Loire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;564;Barcelonnette;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;565;Amplepuis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;566;Amélie-les-Bains-Palalda;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;567;Quiberon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;568;Blancs-Coteaux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;569;Montoire-sur-le-Loir;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;570;Marckolsheim;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;571;Bohain-en-Vermandois;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;572;Plateau d'Hauteville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;573;Carignan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;574;Saint-Calais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;575;Pons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;576;Blangy-sur-Bresle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;577;Beuzeville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;578;Carnac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;579;Arbois;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;580;Les Abrets en Dauphiné;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;581;Nonancourt - Saint-Lubin-des-Joncherets;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;582;Charolles;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;583;Lectoure;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;584;Revin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;585;Morestel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;586;Breteuil;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;587;Banyuls-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;588;Saint-Aignan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;589;Sarrians;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;590;Domfront en Poiraie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;591;Cours;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;592;Mallemort;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;593;Sainte-Sigolène;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;594;Salies-de-Béarn;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;595;Sées;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;596;Chazelles-sur-Lyon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;597;Phalsbourg;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;598;Fayence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;599;Argentat-sur-Dordogne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;600;Lapalisse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;601;Nogaro;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;602;Villaines-la-Juhel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;603;Fumay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;604;Forges-les-Eaux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;605;Belz;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;606;Beaumont-de-Lomagne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;607;Saint-Fulgent;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;608;Port-la-Nouvelle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;609;Miramont-de-Guyenne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;610;Bruyères;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;611;Reichshoffen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;612;Laragne-Montéglin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;613;Morcenx-la-Nouvelle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;614;Solesmes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;615;Cugand;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;616;Vic-Fezensac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;617;Modane;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;618;Lacaune;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;619;Venarey-les-Laumes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;620;Salbris;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;621;Gourin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;622;Mourmelon-le-Grand;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;623;Bonneval;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;624;Le Lude;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;625;La Voulte-sur-Rhône;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;626;Saint-Loup-sur-Semouse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;627;Dompierre-sur-Besbre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;628;Sommières;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;629;Étain;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;630;Cany-Barville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;631;Sillé-le-Guillaume;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;632;L'Île-d'Yeu;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;633;Salins-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;634;Cerizay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;635;Varennes-sur-Allier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;636;Gorron;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;637;Peyrehorade;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;638;Saint-Didier-sur-Chalaronne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;639;Maubourguet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;640;Saint-Jean-de-Bournay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;641;Saint-Amour;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;642;Saint-Père-en-Retz;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;643;Isigny-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;644;Bar-sur-Seine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;645;Aime-la-Plagne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;646;Niederbronn-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;647;Durtal;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;648;Luneray;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;649;Saint-Georges-de-Reneins;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;650;Steenvoorde;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;651;Saint-Laurent-Nouan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;652;Culoz-Béon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;653;Brionne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;654;Mirande;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;655;Mazères;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;656;Malestroit;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;657;Bouxwiller;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;658;Lessay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;659;Bouchain;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;660;Suippes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;661;Tartas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;662;Fessenheim;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;663;Plancoët;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;664;Castets;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;665;Tarascon-sur-Ariège;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;666;Moréac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;667;Broons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;668;Tréguier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;669;Méaulte;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;670;Chablis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;671;Saint-Étienne-de-Saint-Geoirs;CHAR;3
