CODGEO;SNHM22;SNHMC22;SNHMP22;SNHME22;SNHMO22;SNHMF22;SNHMFC22;SNHMFP22;SNHMFE22;SNHMFO22;SNHMH22;SNHMHC22;SNHMHP22;SNHMHE22;SNHMHO22;SNHM1822;SNHM2622;SNHM5022;SNHMF1822;SNHMF2622;SNHMF5022;SNHMH1822;SNHMH2622;SNHMH5022
01004;15.3124397374216;24.9690840799343;16.9938650376041;11.7053374213395;12.3621793407158;13.4790853694076;21.4858028452168;15.0164248971988;11.5555284810818;11.0336142999298;16.4512732385757;26.4874484349359;18.203089149709;12.1015721587898;12.7712410736203;11.3705770389137;15.4910425132883;17.24364021004;10.8631010203985;13.7206623829696;14.4574932258281;11.7065968985435;16.5494793057138;19.0923913130958
01007;16.2379513229257;25.2378364249079;17.3100981863721;12.6574323271383;12.6642443160471;14.2485959761373;21.0264724608393;15.3923489409616;12.5469191023922;11.382280127927;17.8414616350745;27.295451613713;18.9196528123705;13.0983650794803;13.1489416715522;11.2347551261479;16.2644247965124;17.7674496912849;10.7044921967805;14.4278443399399;14.9089669131486;11.7279479769774;17.6572954495414;20.4054071164831
01014;14.9172021293709;26.7534567700056;17.2072632703033;12.2223520500879;12.455691377743;13.1515161875082;19.5799609476157;14.6209485043729;12.561524463897;11.7986393320811;16.1511934430681;29.9920891764557;18.3914736583679;10.8540143268429;12.7709310563558;11.5757986630652;14.4087770767868;16.88892272035;10.9403819624125;12.9089154809777;14.3450653625665;11.9932641828;15.5253837120067;18.5040209096008
01024;15.349891733348;24.1535607797781;16.8137909407823;12.4579596443929;12.9557550904528;13.9430653635254;21.3708304226193;15.0336659356035;12.3431333878045;11.157080142602;16.3030279979635;25.7100013807521;18.0519262925275;12.9194148794253;13.3294297433227;11.8305783132753;15.3520039555432;16.590928834841;11.1045653839114;14.1166214480053;14.5049511218596;12.2770182353816;16.1877013135643;18.057663916112
01025;15.5350650072116;24.6790048612197;16.3968457161969;12.5124851832547;12.9570966438017;14.3040326266652;23.3698072196875;14.7597450569178;12.2698810886688;11.3445919208424;16.3299726771447;25.3867014116663;17.5349132898564;13.3140541967623;13.3093256495233;11.2099781575179;15.6272952528539;16.7644795312182;10.5949282319851;14.4221659370772;15.3392602575235;11.6135050384325;16.4383459096817;17.6005517097328
01027;16.7303714860551;24.9467587659346;17.3158828903955;13.1759622075536;13.636623440389;14.7571678828003;21.7275176246766;16.4558701389818;12.4361858907066;12.0428923185245;18.3365084876498;26.3357397966694;18.137312558267;15.4304417370161;14.1202612112624;11.2278094400768;17.0060790475662;18.1356183526266;10.8828570885107;15.0918553951733;15.3778558233898;11.5247281780113;18.4710199829327;20.7442734593977
01031;14.6382332986484;28.9301736501782;15.9274188655997;11.8523359855855;12.0727290308979;12.9047847847735;21.8433320260458;14.5934402285896;11.8582712059029;11.7539867489417;15.8901974648178;31.3107362348078;16.6642426430261;11.8343103735872;12.2384816605448;11.1673712942353;14.0493266997882;17.479094532091;10.9439281196661;12.5903312684338;14.338563403119;11.3318794380453;15.0355208753886;20.0768698093155
01032;16.8247075864985;26.3375073626975;17.4188215513107;12.8578683625788;13.0374708337666;15.4436143457126;24.0009133206067;16.1144041281011;12.7236455676661;11.7088749417437;18.0791126887751;28.1089634643379;18.4452375988845;13.4630496646293;13.5021351717624;11.3274754060505;16.4367982058097;20.2873871573247;10.901756844902;15.2286577687744;17.9322382612621;11.6886736468541;17.5401024829127;22.4597520012548
01033;13.7574255157586;22.0979124600692;15.8559556161053;11.6735038591462;12.4762975183746;12.7632415889907;20.7129285924904;15.2742895937378;11.708707159048;10.7311083329685;14.5209473664798;22.7143991410208;16.3329507971101;11.5808250915967;13.0100604310735;11.1588526687626;13.8759766807239;14.7549203041075;10.9277508808148;13.0666339179993;12.9509971968996;11.320979866737;14.5375865395848;16.0230575517792
01034;14.1052949200638;25.2158942726511;15.7197681000272;11.6800080866136;12.1439074411291;13.1291337195347;22.2733640826334;15.1069952152179;11.7113241044881;11.4400974962866;14.756799836571;26.4817247297014;16.1611810713502;11.594424732748;12.3760049142898;10.9827964989492;14.0304071054242;15.7193230793369;10.7591242136958;12.9545143976848;14.4547454439989;11.1080697715737;14.7645236148432;16.5938247044219
01043;20.6206994243241;30.8077406313311;17.7640904066465;13.5591795151509;13.3831885535056;18.4149215367048;27.2724277737481;16.5191705581597;13.4330796567071;12.184931357491;22.3829361876718;33.1050176515447;18.8006435111983;13.8942932424173;13.679617304984;11.5604651606942;19.7692503017201;25.245258532666;11.116788392454;18.9230930170395;19.7140386337023;11.9240850454811;20.4545620383015;29.5058422130709
01049;18.4602135574544;29.5779812684313;17.5286474688429;12.6388677811697;13.1726518981839;16.4332255972915;24.5217840219441;16.6825369042383;12.5818894939803;12.1686026215002;19.8457450939056;32.4276826053165;18.1442165907166;12.8080210890928;13.3624512388175;11.4216514875698;17.8524588159667;22.5633762816651;10.8395784671346;16.9705654007198;16.9108074617266;11.7079431562175;18.4818156174406;26.5151622342192
01053;14.104884810313;24.7155496275526;15.8298321031281;11.5983575684106;11.798635067879;13.1954957760256;22.0768518939467;14.8942902757026;11.5175382390254;10.3286555603501;14.741893777068;26.2717336560847;16.6795394996885;11.7784369476695;12.1707305838273;11.2106377600331;14.0779686611024;15.9123893631316;10.9447541502392;13.1406363242071;14.5754068840133;11.4023519905072;14.6873661591837;16.9945795344938
01071;15.6204863769185;30.357935872806;16.4814706953074;12.3219370443809;13.6795660397643;14.1517407637728;24.8362228777181;15.5191516922256;12.0757046923994;11.5250414005451;17.0972000577669;34.4465430180735;17.8982664145076;12.9612607514755;13.8857081054957;11.7643202688571;15.7418113570537;17.7189622476179;11.2273789420378;14.4166426785345;15.430709942015;12.3274057547754;17.1513858627143;19.6599543457086
01072;16.8185392513915;27.7405807799022;16.4097185792078;12.615441729804;12.9175817222198;15.4508195709621;26.387810893052;15.3481884657222;12.36667310844;12.0520283428902;17.8581250773044;28.4260428451403;17.3994313281809;13.4476002877514;13.1282779343631;11.383114463462;16.4510010140809;19.1943921485182;10.6382282266796;15.1051314145434;17.3938364777694;11.9285590913737;17.4161177375241;20.7607223511161
01074;15.6352930325367;24.725521118203;16.8202261257715;12.2376443618708;12.9814790272133;13.8125334940003;23.5789676917383;14.7615001606193;11.7031852167698;11.308772728849;16.87060333165;25.1921067572949;18.4498156119125;13.9304656323803;13.4203648822098;11.322637842951;15.9156455599214;16.6573227208305;10.3567814588969;14.4615057751557;13.6285682774648;12.1440155746748;16.9326407206306;18.3644373031817
01089;16.3108384555637;25.3907675150503;17.6951726900263;12.3624442582373;13.1640461474413;14.1942120012871;23.6015864144163;15.4948658158477;12.2808340728727;11.6277120492216;17.70881911621;25.9147515366338;19.370485713883;12.6378473674157;13.6396271668787;10.9982739830361;16.8027664322005;16.655499905629;10.2022203709512;14.9133122807881;13.6025196791096;11.4822631235527;18.0243521766022;18.8278280646871
01093;15.4589123483964;25.3824074446943;16.1153120390651;11.9538166902407;12.6556632421929;13.8902093117261;21.7434905320599;15.3174397534298;11.8527756609327;12.1175349757918;16.6397843021111;26.9266422207088;16.7477144552622;12.261636755169;12.8400351516244;11.0769258793122;15.2595611618175;18.0560670896553;10.9506684702422;13.9139922385869;15.1600631360817;11.1638109653663;16.2668388103204;20.3617851593581
01103;21.2100811137171;46.0595429103451;15.6141775304855;13.1717731906219;13.6205906697213;23.1591044396526;54.0984303629999;14.7686556737157;13.6840738905213;11.4774046252218;19.1371757552953;37.150722962894;16.3764210863869;11.9436554889197;13.9804182624162;11.672651518154;23.9422461581123;17.7867960645037;10.8466123142289;27.1974276626669;16.0452417401323;12.5706215199484;20.2764621611056;19.2987144164366
01109;14.2027038681669;23.0734667788841;14.8338151973276;11.8045720396756;13.1490529368933;13.3769106120967;26.7272164726965;13.7786164794583;11.8014061934765;10.9539318366368;15.0300051245756;21.7110709106056;17.0343003782349;11.8132938174201;13.2684280790481;11.7174267608477;14.6480575571817;14.3465148613135;12.1273075359988;13.710448264866;13.1103605834261;11.2562091838178;15.5893927894312;15.4837767969699
01130;14.8694092782252;24.2050915283818;16.4163339569201;11.8839160822275;12.9090864541256;13.7083496163902;22.4474016332205;14.8751842998787;11.8009361306844;11.5879172542706;15.6190953146237;25.1324017044766;17.6100507164019;12.2193848605201;13.1559456247658;11.2257721951525;15.1068825835075;15.9297485180171;10.5756444937149;13.6806125581893;14.7943399079456;11.5333135465251;15.9857163336715;16.8761759625973
01135;16.2065590249901;25.4785299285244;17.8590541265353;12.3532235537572;12.895362195351;14.0084459080334;18.0129099751764;16.2246237766488;12.2707928586162;12.3668051600307;18.0900985856283;29.9159219417836;18.9950154870119;12.5247405635612;13.0221721360584;11.6298081963592;17.0088542872877;17.4278549134644;11.0248323018299;14.7419148544801;14.3015906296308;12.2022567736953;19.0498779793138;19.5739458052407
01138;14.3419340361571;22.959113553431;15.5465375685037;11.8310455742023;13.6818661606869;12.8626280660644;20.179667227001;14.2535208170355;11.7178688773094;12.0748599793814;15.3445659131877;24.1456117156066;16.5346889329131;12.1270144115486;14.1526613424937;11.3984972434815;14.4381488567638;15.3099817657229;10.5464746236172;13.2244347569119;13.0779395318026;11.985684183797;15.247148853239;16.8625807888947
