# Description : Depuis 2016, la Région déploie des Espaces Innovation Partagés (EIP) situés dans des établissements d'enseignement secondaire public de la région. Ce sont des lieux équipés techniquement, assimilés à des Fablabs éducatifs, réservés aux élèves et partenaires extérieurs. La Région aménage les locaux, fournit le matériel manuel, numérique ou technique et forme les utilisateurs aux outils numériques de fabrication. Ce réseau de plus de 80 espaces contribue pleinement à REV3 via des projets technologiques et sociétaux.
# Les EIP se structurent autour de deux espaces : un espace de prototypage avec équipements innovants et outillage traditionnel, et un espace de créativité convivial favorisant échanges et création collaborative avec l’équipe pédagogique ou des intervenants extérieurs.
# Données d’avancement des projets par établissement de 2020 à 2024.
# Plus d'informations : (non fournie)
#
# Thématique(s) : FORMATION
# Mots-Clés : EDUCATION, FORMATION, POLITIQUE EDUCATIVE, ESPACE D'INNOVATION PARTAGEE, EIP, QUALIFICATION, REV3, LYCEE, FABLAB, REGION32
# Mots-Clés de lieu : HAUTS-DE-FRANCE, AISNE, OISE, NORD, SOMME, PAS DE CALAIS
# Conditions d'utilisation : Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour
# Données ouvertes : oui
# Source : Données Conseil régional HdF, fournies par la Direction des politiques éducatives
# Date de création : 2024-05-07
# Date de mise à jour des données : 2025-01-13
# Date de mise à jour de la fiche : 2025-02-20
# Fréquence de mise à jour : Lorsque nécessaire
# Date de publication : 2023-05-23
# Langue : Français

code uai,etablissements,villes,statut 2020,statut 2021,statut 2022,statut 2023,statut 2024
0801704T,Lycée Professionnel Alfred Manessier ,FLIXECOURT,A prospecter,En cours,En cours,Déployé,Déployé
0021522U,Lycée d'Enseignement Général et Technologique Agricole de la Thiérache ,FONTAINE LES VERVINS,Déployé,Déployé,Déployé,Déployé,Déployé
0590083V,LPO Camille Claudel,FOURMIES,Déployé,Déployé,Déployé,Déployé,Déployé
0801864S,Lycée Polyvalent du Vimeu ,FRIVILLE-ESCARBOTIN,A prospecter,A prospecter,A prospecter,A prospecter,Projet non reçu
0594652L,LP des Plaines du Nord,GRANDE-SYNTHE,En cours,Déployé,Déployé,Déployé,Déployé
0601897L,Lycée Professionnel Jules Verne ,GRANDVILLIERS,A prospecter,A prospecter,En cours,Déployé,Déployé
0021479X,Lycée Professionnel Fançoise Dolto ,GUISE,A prospecter,A prospecter,A prospecter,A prospecter,Projet non reçu
0592850C,Lycée Professionnel Antoine de Saint Exuypéry ,HALLUIN,,,,A prospecter,Déployé
0801252B,Lycée Professionnel Jean-Charles Athanase Peltier,HAM,A prospecter,A prospecter,A prospecter,A prospecter,Déployé
0590093F,LPO Beaupré,HAUBOURDIN,Déployé,Déployé,Déployé,Déployé,Déployé
0590101P,Lycée des Flandres,HAZEBOURCK,,,,A prospecter,Déployé
0620095S,Lycée Louis Pasteur,HENIN-BEAUMONT,Déployé,Déployé,Déployé,Déployé,Déployé
0623328F,LP Henri Senez,HENIN-BEAUMONT,Contact pris,Contact pris,Contact pris,Contact pris,Projet non reçu
0592712C,LP Louis Armand,JEUMONT,Contact pris,Déployé,Déployé,Déployé,Déployé
0590122M,LPO Valentine Labbé,LA MADELEINE,Déployé,Déployé,Déployé,Déployé,Déployé
0020034B,Lycée Polyvalent Pierre Méchain,LAON,Déployé,Déployé,Déployé,Déployé,Déployé
0020078Z,Lycée Professionnel Julie Daubié ,LAON,A prospecter,En cours,Déployé,Déployé,Déployé
0620108F,Lycée Condorcet,LENS,Déployé,Déployé,Déployé,Déployé,Déployé
0620109G,Lycée Auguste Béhal,LENS,Déployé,Déployé,Déployé,Déployé,Déployé
0622807P,Lycée Hôtelier,LE-TOUQUET-PARIS-PLAGE,Déployé,Déployé,Déployé,Déployé,Déployé
0623377J,LP François Hennebique,LIEVIN,Déployé,Déployé,Déployé,Déployé,Déployé
0590117G,Lycée Louis Pasteur,LILLE,Déployé,Déployé,Déployé,Déployé,Déployé
0590119J,Lycée Faidherbe,LILLE,A prospecter,A prospecter,En cours,Déployé,Déployé
0590121L,Lycée César Baggio,LILLE,Déployé,Déployé,Déployé,Déployé,Déployé
0620121V,LP Flora Tristan,LILLERS,Déployé,Déployé,Déployé,Déployé,Déployé
0593395V,EPLEFPA des Flandres - site LEGTPA LOMME,LOMME,Déployé,Déployé,Déployé,Déployé,Déployé
0590111A,LP Sonia Delaunay,LOMME ,Déployé,Déployé,Déployé,Déployé,Déployé
0595786U,Lycée Jean Prouvé,"LOMME
",Déployé,En cours,Déployé,Déployé,Déployé
0622803K,Lycée Blaise Pascal,LONGUENESSE,Déployé,Déployé,Déployé,Déployé,Déployé
0620124Y,LP Bernard Chochoy,LUMBRES,Contact pris,Contact pris,Contact pris,Contact pris,Projet non reçu
0594302F,LP François Mansart,MARLY,Contact pris,Déployé,Déployé,Déployé,Déployé
0590149S,Lycée Pierre Forest,MAUBEUGE,Contact pris,Déployé,Déployé,Déployé,Déployé
