# Description : Répartition par année scolaire (depuis 2017) des étudiants ayant bénéficié de la bourse Mermoz pour une mobilité internationale.
# Ce dispositif permet aux étudiants inscrits dans un établissement d'enseignement supérieur en Région Hauts-de-France de :
# - suivre un stage en entreprise ou autre organisme (ONG, association, etc.)
# - suivre à l'étranger un parcours de formation en enseignement supérieur
# - bénéficier d’une expérience dans un laboratoire de recherche à l’étranger (Master 2, doctorat)
# - renforcer ou initier des collaborations entre établissements régionaux et étrangers
# - développer le rayonnement international de la région.
# Plus d'informations : https://guide-aides.hautsdefrance.fr/dispositif997
#
# Thématique(s) : FORMATION
# Mots-Clés : AIDE REGIONALE, ETUDIANT, MOBILITE, INTERNATIONAL, FINANCEMENT, PARTICULIER, MERMOZ, UNIVERSITE, ENSEIGNEMENT SUPERIEUR, REGION32
# Mots-Clés de lieu : HAUTS-DE-FRANCE, SOMME, AISNE, NORD, OISE, PAS DE CALAIS
# Conditions d'utilisation : Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour
# Données ouvertes : oui
# Source : Extrait d'une base régionale à partir des dossiers retenus.
# Champs extraits : année de campagne, commune et établissement d'enseignement, diplôme préparé, type de mobilité, pays de destination, ville d'origine, nombre de semaines financés par l'aide Mermoz.
# Attention : données par année scolaire (septembre à juin)
# Date de création : 2024-04-12
# Date de mise à jour des données : 2024-10-14
# Date de mise à jour de la fiche : 2025-03-04
# Fréquence de mise à jour : Une fois par an
# Langue : Français

Campagne,Civilité,Etablissement d'origine,COD_INSEE_ETS,COMMUNE_ETS,Diplome préparé,Type_mobilité,COD_PAYS,Destination,INSEE Commune ou Code_pays,Adresse_commune,Nb Semaines Financées
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,DEU,ALLEMAGNE,51108,CHALONS EN CHAMPAGNE,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,DNK,DANEMARK,92040,ISSY LES MOULINEAUX,"21,14"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,DNK,DANEMARK,59009,VILLENEUVE D ASCQ,"13,14"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,DNK,DANEMARK,83069,HYERES,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,GBR,ROYAUME-UNI,02722,SOISSONS,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,GBR,ROYAUME-UNI,69081,ECULLY,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,NOR,NORVEGE,11430,VILLENEUVE LA COMPTAL,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,POL,POLOGNE,76157,CANTELEU,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,SWE,SUEDE,95313,L ISLE ADAM,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,AUS,AUSTRALIE,62120,BEUGIN,0
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,BEL,BELGIQUE,59588,TETEGHEM,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,LAO,LAOS,59350,LILLE,"15,43"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,MYS,MALAISIE,62297,EPERLECQUES,"15,57"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,PHL,PHILIPPINES,59090,BONDUES,"21,71"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,PHL,PHILIPPINES,59421,MOUVAUX,"21,57"
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,Master universitaire/Ecole,Séjour d'étude,CHE,SUISSE,94069,ST MAURICE,26
MERMOZ17,Monsieur,ECOLE CENTRALE DE LILLE,59350,LILLE,Master universitaire/Ecole,Séjour d'étude,ESP,ESPAGNE,59508,RONCQ,26
MERMOZ17,Madame,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,AUT,AUTRICHE,94017,CHAMPIGNY SUR MARNE,"21,14"
MERMOZ17,Madame,ECOLE CENTRALE DE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,BRA,BRESIL,29019,BREST,26
