CODGEO;SNHM22;SNHMC22;SNHMP22;SNHME22;SNHMO22;SNHMF22;SNHMFC22;SNHMFP22;SNHMFE22;SNHMFO22;SNHMH22;SNHMHC22;SNHMHP22;SNHMHE22;SNHMHO22;SNHM1822;SNHM2622;SNHM5022;SNHMF1822;SNHMF2622;SNHMF5022;SNHMH1822;SNHMH2622;SNHMH5022
011;15.9833007322166;25.9871084520079;17.0056060902536;12.2717543032536;12.9378744896048;14.3863644273784;23.220249480119;15.5337886662664;12.1331437373938;11.6068407912356;17.1073082150218;27.3494583423291;18.1351336554108;12.7247323265603;13.3285890970422;11.2863498163806;16.0069879364798;17.7484730738484;10.8636551528551;14.5338536527268;15.3744151670759;11.5776181669496;17.0285624526114;19.4912607961725
012;16.3109850969898;26.7834600748023;16.695117513332;12.4433060233151;12.80853843359;14.6543442742389;23.4327377523924;15.4240016361882;12.2019496365173;11.3624330047551;17.5066123765073;28.4960026072355;17.7933134370191;13.2011890316229;13.1407344319973;11.2427038921055;16.1724288720394;18.5334178393392;10.9033778019603;14.7645700120758;15.7908540943413;11.4796895728083;17.1844570981363;20.5550514459831
013;15.8217632936988;30.9315824578674;16.2405765306995;11.9610771494662;12.9353259410316;14.6965076754508;27.2634268697463;15.6436814057185;12.0208462241011;11.1462740922978;16.8097948919182;33.2919153886785;17.0444042104274;11.8668869719749;13.2397113474431;11.3009029970849;16.2089942451779;17.4592161492111;11.2097037308183;15.1095226506837;15.7629079740943;11.3857096054653;17.1881260641235;18.848963993171
014;14.6134027178535;24.9260734203096;16.4105224375768;12.1037307428328;12.3980960439905;13.2531058180724;21.9221690005412;14.9518473962921;12.0520117664043;11.1778418618723;15.5485720445282;26.3228099495494;17.3887088088179;12.2637611255889;12.8520916073394;11.1684635422244;14.5152812720508;16.1217569521159;10.8761194584897;13.2561658905626;14.1290739504863;11.3624544545303;15.3804647244326;17.5115769307254
021;14.9479636360898;25.2710818851087;16.5438894875318;12.184919850731;12.8335262540903;13.7340524978036;22.2932418010328;15.4185920501939;12.1273124099328;11.389457274571;15.7096743387833;26.6758296149835;17.3682981321937;12.306613820358;13.2028793498818;11.0810574935086;14.7043037742614;16.8466551764047;10.8396586054863;13.5831948015867;15.0942214824309;11.2370826526073;15.4032554019846;17.951649657303
022;14.1606569149255;23.9874703485302;15.9990330221528;11.5715944851032;12.5186113322948;12.9496494857163;21.2319851922916;14.6488782448808;11.3724041459995;10.975100199689;14.8396387812981;25.2893358476561;16.8962233359237;12.0039889407551;12.7991157967534;10.7718123146727;14.0230838743733;15.7851351680298;10.4209815290982;12.9730746124743;13.9532613560598;10.9925141738838;14.610177541666;16.773841080097
023;14.526287784524;25.4694790236577;16.3077148014106;11.4722174749545;12.7204800479393;13.3507945207505;22.8722199931295;14.8381658306294;11.3476748218303;11.7754548212834;15.2245141772854;26.7404316190616;17.3841797210634;11.7384726338049;12.9067089954195;10.9680060092032;14.3154065670432;16.57287171252;10.6094816706124;13.374548131352;14.5257676538614;11.2024883654992;14.8541658799697;17.8437471860249
024;14.820770923648;26.1771450359091;16.3560228355289;11.8881856608734;12.8189191695969;13.4170373040548;23.4162337021037;15.0037884163437;11.6841188820712;11.0871837095139;15.6724236980609;27.4220803878957;17.3437408847579;12.3651909597643;13.1961912940069;11.0012908784489;14.5769219439126;16.7880986561264;10.6115452617716;13.4083521615657;14.5872370347167;11.2630165886804;15.2846317956604;18.0773998416823
025;13.7084590637524;22.9532780716082;15.7612844056922;11.4067177813466;12.8978053010465;12.6295439152905;20.4390850068085;14.318991579143;11.2689453930277;11.973020836863;14.2853236478243;24.2011309192092;16.7492076021416;11.7818845254707;13.0883334071194;11.0379754457611;13.7304391975856;14.8088700796613;10.4903617209124;12.6867160706315;13.4617268420001;11.3585757356188;14.2735709444933;15.5467989247553
031;14.0498225743781;24.2566885843782;15.806016191999;11.2955994892363;12.352323738296;12.8079293147314;21.0802549307269;14.7354255594975;11.1451603140129;11.0748409925956;14.8937196207829;25.7957577950503;16.5911528985408;11.7138129921097;12.588402408717;10.8261068631163;13.8667438958052;15.5693677282686;10.5305377512711;12.8439116480874;13.5346576688187;11.0268254235814;14.5408646151131;17.0363924620345
