CODGEO;SNHM22;SNHMC22;SNHMP22;SNHME22;SNHMO22;SNHMF22;SNHMFC22;SNHMFP22;SNHMFE22;SNHMFO22;SNHMH22;SNHMHC22;SNHMHP22;SNHMHE22;SNHMHO22;SNHM1822;SNHM2622;SNHM5022;SNHMF1822;SNHMF2622;SNHMF5022;SNHMH1822;SNHMH2622;SNHMH5022
01;15.2073963440061;28.0509413559465;16.9903315285187;12.3795849798522;12.0521038977491;14.6212450685904;25.3812728250095;16.4881293049517;12.2494519610968;10.6980733065264;15.7360661124101;30.1583456415012;17.545146100534;12.6593144737607;12.2932237935026;10.4939323808351;14.8295871322975;16.9332291498387;10.6191432895065;14.5312731911513;15.6545608967884;10.3988697109965;15.1130652484008;18.0360367454813
02;15.0202516323935;28.1163582849814;16.6826451822995;12.1489026508032;12.0707576396559;14.3612998873284;25.2096039880814;16.1817771821872;12.0194195547574;10.5263295748884;15.614311805654;30.5340732220001;17.2415152719768;12.4357904026761;12.3915799550633;10.3976437088291;14.7219355025891;16.4367690055283;10.491712903877;14.4019570221953;15.0867267120798;10.3234567088655;15.0274243407462;17.5885029163455
03;15.42970665031;28.5339032104306;17.4977294098005;12.1304415426685;12.1769613332929;14.7037278285731;25.780937121866;16.3212005524717;12.0803976888671;10.3553866815117;15.891370875299;30.254525329399;18.4660469432695;12.2050386618167;12.4515548405688;10.7107584593299;14.9586121349272;18.6938322294903;10.7515247341151;14.4384329595818;17.5862551380468;10.6845332766194;15.3217761926027;19.2465200312217
04;14.2573920493222;27.1317841152;16.0419063055575;11.7946676046942;11.8736891304208;13.8134623879334;24.5778694527993;15.5355000710496;11.680115705767;10.3828862092711;14.5596532846364;28.8115592710827;16.5322637202764;11.9816185557871;12.0501538327108;10.4840130845665;14.0519342955979;16.4701464136934;10.6168815575776;13.8531386475417;15.1531286030972;10.3958146110845;14.1939518654869;17.2582657380944
11;21.5260386796513;33.6427812778551;18.0199608542242;12.8505026590566;12.505437955127;20.0468337823397;29.8653286856949;17.2409885654398;12.9486656833445;11.3228463516861;22.5993131339405;36.3643586212418;18.7644920125267;12.7135524044425;12.7310589678774;12.5027040815709;20.9994484003775;25.9775078899319;12.2298099604397;20.0950957916545;22.8128778827928;12.7250273448317;21.6530080449105;28.2070661176457
24;15.4581009707236;26.0566715604185;16.2376843158732;11.9014788828419;12.4748129224395;14.1831863241894;23.1696810819004;15.2304528270987;11.8020987964951;11.6148047128064;16.3650832365726;27.5641757556999;17.0685114832363;12.1480204552921;12.7055651117541;11.0952777183771;15.2818379662854;17.5251710751569;10.867410878857;14.205571682938;15.3784772725097;11.2565813552231;16.0347141387542;19.1129451853071
27;14.9412374366082;25.4633437785441;16.0174827375001;11.8050151289884;12.5376931828143;13.5749345774248;22.397777704816;14.815875100172;11.6654023417619;11.239900128345;15.8991276250564;27.0170030746576;17.0036111538819;12.1864444281917;12.8648121322412;11.0690995532208;14.8146129376806;16.7849922688172;10.7207493024797;13.6343857940298;14.5812549964063;11.3088470929908;15.6338730569887;18.3746234068957
28;15.401342462117;26.4200144681255;16.515549047454;11.8730440758544;12.8080395873569;13.9808023816088;23.3133252578998;15.2074231534895;11.7172209241804;11.4400495943508;16.3662437581795;28.0628972092054;17.5546450417775;12.2748102976578;13.1198685517889;11.1628187363531;15.2415855735862;17.6037209492331;10.8034151696576;14.0396608061668;15.2314833089379;11.4157163652648;16.0492448390197;19.2315744020364
32;15.4300108784935;26.1536991707904;16.1955642826196;11.7863439274948;12.5179202888129;14.0537806319637;23.1430125235248;14.9462557606799;11.6169724108765;11.0551965378535;16.3042435955225;27.7106229550559;17.179330738946;12.1436925368368;12.8127989757445;11.1222315123911;15.2917914376934;17.7352619896117;10.742436014035;14.1829612848148;15.3392792000883;11.3915246510882;15.9913866448616;19.2085503776771
44;15.3162316642912;25.8523562055279;16.4119565726506;11.807686485042;12.7557262213798;13.8881432371976;22.9711017313038;15.1609024334966;11.6720512716214;11.2327779157189;16.3266682617541;27.3651806734671;17.4703226140866;12.1595809623508;13.0955762289105;11.2034291081785;15.1451497754379;17.3846892241579;10.7829525087058;13.9585923425852;15.0276359152673;11.5147918068403;15.9735980413886;19.0712647387594
52;15.4018755133179;25.6797722108295;15.8538372212501;11.9560309227137;12.3812678085828;13.9656959452698;22.5710333326463;14.768773691948;11.805190905348;11.3127384441298;16.4203241626149;27.2436283137662;16.7512315743904;12.3677136602228;12.6684169894047;11.1391975501157;15.4184959131661;17.4365104859059;10.784502458339;14.1725497982654;14.9780192519031;11.3920963259474;16.2941470832322;19.2159508079077
53;15.2365840826082;25.7493883880292;15.9128898653484;11.8209319507568;12.2022122765944;13.8930970496777;22.6686320133169;14.8518905753188;11.6928880881946;11.1182553434527;16.2036861583694;27.3471507805782;16.8274254238203;12.1514721425304;12.4691710171705;11.2115218156282;15.1317434742635;17.308074145688;10.7853445444609;14.0194365060618;14.9512160558596;11.5125030477344;15.9220056314594;19.0743450517966
75;15.3328384729098;26.0956145875712;15.9476758570836;11.8647084126549;12.1922951313618;14.0556407800178;22.9852368992866;14.9956310802323;11.7393134893071;10.9346497537453;16.2850267591924;27.8321635491989;16.7999692968666;12.1753706935517;12.4615202773512;10.9638833872439;15.2171559502508;17.4101089037264;10.6793079360657;14.1538937685069;15.1833979918613;11.1695025709779;16.004199143477;19.1197640084833
76;15.6622453489163;25.4944164615314;15.9053485618165;11.7362761363924;12.1133232449428;14.2732214951428;22.7544520336845;14.9139696632585;11.6260373884097;10.7882563796738;16.6765772682166;26.942998392527;16.791710328499;11.9837267949706;12.356352027258;11.0183912080263;15.4831386883022;17.9068713322519;10.7461819718778;14.3622218115728;15.4466948063108;11.2195079265465;16.2887165062885;19.762243192123
