CODGEO;SNHM22;SNHMC22;SNHMP22;SNHME22;SNHMO22;SNHMF22;SNHMFC22;SNHMFP22;SNHMFE22;SNHMFO22;SNHMH22;SNHMHC22;SNHMHP22;SNHMHE22;SNHMHO22;SNHM1822;SNHM2622;SNHM5022;SNHMF1822;SNHMF2622;SNHMF5022;SNHMH1822;SNHMH2622;SNHMH5022
001;21.2582404097952;33.4823657416184;17.9595241948214;12.8373767249702;12.5693101263821;19.789337192556;29.7418004362931;17.1643137562452;12.9171794465952;11.3735437286511;22.3194714824949;36.154652156886;18.7094541853759;12.7232691091053;12.8015048919741;12.4277772034113;20.7462013493029;25.5898718016727;12.160768946784;19.8388884750916;22.4750837083129;12.6436234801319;21.3996415217295;27.7726793066949
002;18.1346634772626;28.1048628469324;16.9107171572621;12.5114548547221;12.6310986534241;16.3876365066503;24.9617599611195;15.8129417871746;12.3847522977936;11.3680442745338;19.4010767380084;29.9247203178823;17.8967857248177;12.7746546385506;12.9032320629825;11.7228090012;17.9505403931383;21.5501887249976;11.2729559741636;16.6383198073298;18.1504914130886;12.0728380808047;18.8893372781416;24.0209517301517
003;17.2777088359446;27.8839325827095;17.1698843361784;12.1775713257364;12.7157614295482;15.6200798811638;24.8914724364103;15.7138650101228;12.0748010897007;11.0343750902838;18.486378855338;29.5937674907661;18.5109448980873;12.3623327251198;13.0254014384069;11.685836368847;16.9949513330671;20.0851919895484;11.1693558716413;15.7011846516943;17.2625596069014;12.1085645878767;17.9250593622818;22.1198939785286
004;16.7093038709578;26.3010278384265;15.8403945938238;11.8630822749658;11.8893041572721;15.2304649234099;23.3987718159003;14.8726562074013;11.734059712685;10.4846329886381;17.7601383416556;27.9609055254127;16.7729863984894;12.0912433537048;12.1733116326469;11.3750993553773;16.6683179908198;19.4596252606034;10.9388762953895;15.5310937464393;16.6434733534971;11.7222448540447;17.4678715769254;21.4100808942093
005;17.7358621129228;26.2944232529742;16.2388959846061;12.0003354330073;12.4447858072821;15.8388486659412;23.5923515247895;15.2363906254751;11.9470352422835;11.0192089199538;19.0518685899037;27.656291512238;17.1212942647533;12.1149651216587;12.7076042940358;11.4245567015594;17.3755315739273;21.3497565454191;11.0373615995633;15.9234129877722;17.7253793201873;11.7166792703122;18.3722259966315;23.8478106053019
006;16.9846166609307;26.9514350619647;16.2736962852152;12.1944914967132;12.3751094475023;15.3214328057442;23.6858130690126;15.3392730702551;12.0596997657405;11.0091460462269;18.2598076842938;28.8050890150163;17.1760991489294;12.4890806568892;12.6417638010961;11.2972645702763;16.8802634937855;19.9220967636189;10.9665736094985;15.5148016924191;16.8349268564126;11.5559061382221;17.9240716933118;22.2867517749809
008;17.0373359244554;25.865263543587;16.0121681173779;12.2431310810353;12.3613258782177;15.2825784539871;22.9885477766511;14.9928747565833;12.1315876290495;11.0949845688875;18.3052279555513;27.3459676394627;16.9236603870313;12.5052536190766;12.6463086059738;11.3634008049377;17.0687535943001;19.8371982674604;10.9716686188275;15.5797618353776;16.580237378175;11.6514472061963;18.1294759389037;22.2722319358123
010;16.3639237608244;26.4582255547302;16.5900213035045;12.0966584116735;12.7225568044886;14.9285551052458;23.6913729544197;15.5217599441363;11.9954758993489;11.4415497561055;17.422075679642;28.0063135559044;17.5912271943896;12.316640238587;13.0261145573415;11.3694020764345;16.0835484033851;19.1661134731607;10.9841938175922;14.9816715059747;16.4995026639087;11.6688624674798;16.8798063374222;21.1838389851711
012;16.3638306790175;25.8646317486842;16.2367972795324;11.9204002703308;11.9423223970501;14.9886100560508;22.9554484545228;15.2446028266597;11.8164488290802;10.6457513677168;17.3996996276704;27.5657543285644;17.1847428821995;12.1142427207683;12.1577040165092;11.2224475660408;16.1981417168796;19.155302782427;10.8873589542119;15.1594764180359;16.4867568871234;11.496309093418;16.9642090682391;21.2026284210205
013;16.5754707995979;25.745527451591;16.226135165338;12.1017343035767;12.2345855145894;14.963167716217;22.9269525667539;15.0321314546816;11.9790005691138;11.1337422674313;17.7145394636733;27.1896455047624;17.2921412035821;12.3867393098513;12.4818404799757;11.69204988686;16.454210808534;19.3949953866376;10.9613207878698;15.1555867266394;16.4761252420078;12.2284215717742;17.3637932086953;21.4683634756417
014;17.8846189489369;26.9464250461295;16.6019266909192;12.2420795087465;12.8740029835333;15.97860731985;23.9092777124122;15.504846500828;12.1615839011229;11.4693845733673;19.1188735170582;28.4640052797569;17.4624874489258;12.4093114315634;13.1616689862964;11.6084111477596;17.4638664463634;21.4196509035856;11.206718918769;16.0145374505712;17.868079948087;11.8760591932815;18.3966117235349;23.7258070248994
015;16.0588439605985;26.429050203941;16.5958994937553;12.0375319566184;12.8202320090718;14.7077023780876;23.375168302823;15.4439798765196;11.9448856153804;11.5948087337978;16.9680333731437;28.1313549560951;17.5101880312957;12.2480680549731;13.0655741411629;11.2296529000987;15.8848418519083;18.665670600355;11.0006592924381;14.8085647099419;16.2066035982955;11.3996876474624;16.5993798620058;20.3051570516513
017;16.4138879000089;27.6998936909212;17.3681719634737;12.2736204539509;12.5796667450546;14.9843561252421;24.6226201773486;15.9654008558285;12.1360786331391;10.9124728074848;17.5767455878985;29.5717786665535;18.8659628165573;12.5135615680475;12.9166868229471;11.9751915338691;16.1799192189561;18.6484476276164;11.0745313535412;15.0337562888747;16.4082831550583;12.7359734445442;17.0959062206718;20.514910588423
018;15.3952844719109;25.682434062712;16.0043574113193;11.8055162448038;12.1765642604485;14.0585913347706;22.782125915194;15.0735200015233;11.6868971117109;10.730625680655;16.4655895951007;27.22770743845;16.933213089831;12.0556553569682;12.4190899786397;10.9935126280832;15.0546803913;17.7992901567153;10.7779381838929;14.0674634200101;15.3023668397936;11.1735617539737;15.8306464337914;19.8459583054091
019;16.0355636545905;26.3225303694324;15.8969450131571;11.9874466489355;12.3534409945678;14.5303113044316;23.0538485824563;15.0305735258332;11.8750445353382;11.4175162377358;17.1525894483928;28.0262157219724;16.6454409505866;12.2533131261046;12.5670529647138;11.0918875984397;15.9221370135015;18.4597854344347;10.8702107540848;14.7220253750202;15.6574669114794;11.2616640484934;16.7950189750536;20.6146118453418
020;15.5938006014645;25.3620080379556;16.0838549262253;11.8922830216313;12.4276466101385;14.369423128445;22.7753949931519;15.2644354725314;11.7798263617197;10.5966408328378;16.4622066068428;26.761677793425;16.8168873087305;12.1407425885617;12.7421628837019;11.0474226343546;15.4013435645942;18.1489287900479;10.7424658555958;14.3916321697979;16.0562083810856;11.2833933686224;16.1038261291336;19.6435846107249
022;16.3514896879593;27.1868828863699;16.3968972898001;11.9437428998035;12.4876406101983;14.8502158785684;24.112628398224;15.2413919358908;11.8456537624337;11.3173378356196;17.4092147586917;28.8478424595684;17.3629347972624;12.164848109502;12.7254817167993;11.1452345928635;16.1654302656099;19.1503657230992;10.8288443341754;15.0244959035449;16.2527241401764;11.3800127863096;16.9565698700102;21.2267864640183
023;15.2544616526852;25.0898202412491;16.2187144789696;11.9596919880817;12.6856936010964;13.780639129797;22.2210411023797;14.8681977063225;11.823762706764;11.0090082006524;16.2245189394205;26.4066766093503;17.3390040685269;12.2891853373305;13.0320723447984;11.4915607185398;15.2087550279923;17.0930981301365;10.8993295429537;13.8851944694365;14.8204554995084;11.8781475110329;16.0559795448846;18.6935584732701
024;15.270371507508;25.6828582126516;15.9142701628772;11.8108580434055;12.2264486457899;14.0695956735377;22.6821982095332;15.007507863865;11.6690846005272;11.0358096194648;16.1465569201258;27.365691576348;16.731119331833;12.1434552227887;12.4741020658793;11.0072885907189;15.1546485501363;17.6247632379111;10.6908934126593;14.1584316942418;15.5051948458682;11.2483594701937;15.873107772714;19.1856840594089
025;16.1568452017251;26.3123603054982;16.4678832238351;12.0332287434468;12.5331343817509;14.9090260104786;23.61860945974;15.6172266235717;11.959802840711;11.815102802877;17.0825306923105;27.8338219082866;17.2397460778222;12.2012935845668;12.7508036322596;11.2183247467305;15.9388972928454;18.7475698793495;11.0358866968194;14.8963314301869;16.5195828512337;11.3529419711496;16.7016147001705;20.4606700505015
026;15.5187282370173;25.6690825272158;15.9913073220926;11.9834601890324;11.9789915262783;14.1649306435063;22.4318094296142;14.8732498101024;11.8457058386179;11.079109885579;16.5362410401566;27.4217824018642;16.9924073972051;12.3170727179833;12.201581896084;11.2650931981856;15.4018848526819;18.1111024275975;10.7745690052716;14.2649147064913;15.7247868877629;11.639864743551;16.2447957204615;19.9531845141932
028;15.6769790407065;25.4963852652447;15.982520838218;12.0115900500013;12.4496562901952;14.4024139329324;22.6898172766212;14.9990598887159;11.8504901967695;11.1415635531995;16.6189927598322;27.1363372906927;16.8466046827679;12.3775397506934;12.7386634824083;11.1175730482055;15.5017763737353;18.1541459916219;10.8218045968821;14.4384577157442;15.9491988695168;11.3464317639135;16.2734774904905;19.8223404508095
029;15.1281314854547;25.2728498123845;16.3212128414549;11.9136120283219;12.7135374878918;13.7274800740016;22.5662437548598;15.1311509005286;11.7713993065783;11.1117863344669;16.1336413981223;26.6116580387353;17.336227530877;12.3052564511809;13.0737992506779;11.0098957245801;14.8903533644518;17.2259264211408;10.80482114274;13.7019886966177;14.9419746755982;11.1678153287491;15.729592741853;18.8800457869187
030;14.0892511098857;23.9463716763339;15.3943693560791;11.667223626882;11.803615412773;13.2490110795236;21.5323768479938;14.5892668746838;11.498888430352;10.6209687312608;14.7529041218244;25.4250169580752;16.1875215485726;12.0175620466224;12.0274399886193;10.6422557702154;13.9022538199202;15.7763117416431;10.5423886431354;13.2188755847272;14.337199753549;10.7267953341995;14.4287591218955;16.9462647226003
031;17.7041442505328;29.3874484282532;16.8405636551793;12.5400078995115;12.622685385518;15.8211013128508;25.8173620530834;16.1316924309271;12.3742031158111;11.1413102493417;19.1936781192949;31.3410155895825;17.5539743782956;12.8544213047599;12.9350659808815;11.4496953341885;17.3717975202878;20.5057996075516;11.1494533092562;15.8359828794509;17.3402774620156;11.6899760454323;18.565027778431;23.0961490225233
032;15.4882427071537;24.7512414258243;15.9986593939866;11.7158518451072;12.2443809953559;14.1008155584622;22.28439319849;14.7473168372247;11.6553903411627;10.7640642272329;16.5159195002005;26.0630654465884;17.1211482702438;11.8596959360121;12.5417094987767;11.2885678142325;15.4437030838519;17.7015230883502;10.8282920435377;14.2997749172437;15.1943852633469;11.6306334677969;16.2754254114253;19.6472300371138
033;15.7591754572932;26.2030065033026;16.5516040030824;11.7627492162469;12.4041629602477;14.2448255849688;23.2101400728889;15.2792930753886;11.6766876563758;10.8339413661278;16.8927053249869;27.8015014316031;17.6890204244796;11.9649498810993;12.7500798547507;11.2652599194812;15.5495527766895;18.1533774758601;10.935446017607;14.3348729840119;15.4616888150829;11.5187144705192;16.449915929835;20.1908984324224
034;15.3035355135188;25.7830551109884;16.0522826925735;11.9700908728326;12.4196213472679;14.0104904727853;22.72294299398;15.0841542828767;11.8493967733854;11.1095570386848;16.2189136443626;27.3988750135444;16.860307922327;12.270838882791;12.723929991771;11.1013217806946;15.1141221822059;17.5975513918873;10.8872431891414;14.0492934147059;15.3550369753793;11.2650804247039;15.8623269303286;19.1599917652107
035;15.1753214283149;25.0202025238223;15.9005974759864;11.6930735342065;12.7413625978356;13.7697955069267;22.2886618020422;14.8007966351184;11.516276067055;10.9701029774898;16.0795083069131;26.3952760000506;16.7573512241528;12.0475810485188;13.094372803611;11.1550116594845;15.115977984016;17.2554064600252;10.595244575319;13.9175850024784;15.0813685872724;11.5753595935778;15.8762469525386;18.6006788208427
036;16.1513638299182;26.9571640841522;16.9222056256356;11.9651644720129;12.7629953097519;14.713284193243;24.0145923170133;15.5420371015322;11.8175399485619;11.4094741782596;17.1904875610142;28.6697277002824;18.1160421321222;12.2975185674767;13.0298999078448;11.7985269737625;15.9793498305863;18.5921513517979;10.7892821245066;14.8984869092663;16.1843373348715;12.6314855683541;16.7475007113899;20.3007733286665
037;15.0131877730329;25.1744396114237;15.9512744840721;11.6835476862413;12.2797200918988;13.7574751008792;22.5091297868016;14.8531186291359;11.5309964783978;10.9102349531627;15.9230583077415;26.5827219180117;16.8994488836836;12.0361693305217;12.5111461229885;10.9029678187932;14.8555438922249;17.0841738293408;10.6425750122056;13.792852092551;14.9585590684472;11.0919009046167;15.6170815431438;18.6626788706408
038;14.5890134874003;24.775298025005;15.8555405457604;11.5917398858545;12.2650700237233;13.283375388067;22.0253256867223;14.6238442939856;11.3668165993446;10.859875714313;15.3239982067828;25.9319757224535;16.7483214481511;12.0664098050172;12.5217593732857;11.0240985616798;14.4900000343324;16.6293590326053;10.7147235138737;13.4136983614632;14.3042401197188;11.2170234459334;15.095206016942;17.8762824228101
039;16.5696171759751;27.9685325564887;17.719376813933;12.1802110369537;14.5330955897902;14.349270082594;23.9638562247569;15.8854922210373;11.9194677334241;11.2499101884108;17.9359463986129;29.9526071135836;19.0829973023663;12.8475229670711;15.010656448602;11.7445466014645;16.4005254506644;19.1856458754549;10.9619930943387;14.4336974098832;15.7238703577483;12.2649616573666;17.5831067465954;21.3667710921761
040;15.4917791588842;25.9822781336726;16.0862397293081;11.906024611746;12.3333833089631;14.1076979156742;22.8073657338176;15.03263527376;11.6692752320907;10.8756117185803;16.4656059810986;27.708105834251;17.0010940955262;12.4422089495164;12.6056747661949;10.9601113159553;15.2298777894692;17.8913754546884;10.7488965401419;14.1386696154086;15.41871100601;11.1174559923154;15.9871580607464;19.6451195483281
041;14.7475824869927;24.3544029170021;15.6153817004162;11.5556006753293;12.103505954824;13.7831823287969;21.8605838535754;14.8736442681541;11.4706645674152;11.0208557660757;15.4256004037946;25.7973464897181;16.2410193521137;11.7450860280412;12.3238604459055;10.7317513899271;14.507951358867;17.0615077734102;10.4778080430093;13.7517990987099;15.2314249219733;10.9059808750019;15.0278063255286;18.4300950137618
042;13.7350408372228;23.4532671318989;15.5784172046332;11.3767748484561;12.1598747530731;12.5907591951738;20.8179814653403;14.3058730209227;11.1851449998614;10.7893113158644;14.3943674424135;24.5845500830045;16.4565651369023;11.8228139981186;12.4011711369291;10.8030315848051;13.7042575262956;15.3869326532693;10.4673489377453;12.7371047254276;13.4432650379413;11.0318937808774;14.2502396205078;16.4711736076909
043;17.3316238299594;28.262486906846;16.8990496353198;12.690597736988;13.3540285640042;15.5502590979944;24.2916460881149;15.851421400489;12.5421548643411;12.0630065669077;18.6457651553481;30.5246972321706;17.8235855581867;13.0311026431819;13.6793579879204;11.6508604746668;17.3364985210976;19.7545378067944;11.2863721606797;15.8760552177882;16.509933884012;11.9017842313303;18.4097164746222;22.2423355897512
044;16.3888723734534;28.0005088928206;16.440533528546;11.8862249928012;12.4725812660372;14.4753809579678;23.9235676602932;15.1923185241159;11.7424981476544;10.7874311531445;17.782075749858;30.044352241485;17.4694522707629;12.2501599527155;12.7913221405771;11.1272115581985;16.0527510080257;18.9762677298561;10.7563657292344;14.539747688422;15.603859602876;11.3895368695091;17.1405174402511;21.5254542488249
045;15.2690741057783;24.7184257870844;15.8109782825937;12.0776860853813;12.4780015299162;13.9961510074134;22.0324475303734;14.8739716413439;11.9475059611999;11.1966341397666;16.1768024917944;26.1205798550361;16.5873461255766;12.3666811843924;12.8217975642323;11.0451876961403;15.1584495573184;17.5077463589958;10.698549205958;14.1037730865403;15.2627033923676;11.2894733627892;15.9027544874438;19.1568065636224
