Numero d'action ,Organisme,Arrondissement,Lieux,Code INSEE  communes,Formation 2024,Formation 1T 2025
2023_A0167_SJT_ACHA_0001,SJT,CHÂTEAU THIERRY,CHÂTEAU THIERRY,02168,X,X
2023_A1079_AIDE_ALAC_0001,AIDEQ,LAON CHAUNOIS,CHAUNY,02173,X,X
2023_B0009_CFP0_AVER_0001,CFP02,VERVINS,VERVINS,02789,X,
2023_A1064_ADF_ACHA_0001,ADF,CHÂTEAU THIERRY,CHIERRY,02187,X,X
2023_A1462_ADEQ_ACLE_0001,ADEQUATION,CLERMONT,CLERMONT,60157,X,X
2023_B0011_COAC_AAMI_0002,COACH CARRIERE,AMIENS,FLIXECOURT,80318,X,
2023_A1459_IRFA_ACLE_0001,IRFA,CLERMONT,CLERMONT,60157,X,X
2023_B0011_COAC_AAMI_0002,COACH CARRIERE,AMIENS,POIX DE PICARDIE,80630,X,
2023_A0167_SJT_ACLE_0001,SJT,CLERMONT,CLERMONT,60157,X,X
2023_A1462_ADEQ_ACOM_0001,ADEQUATION,COMPIEGNE,COMPIEGNE,60159,X,X
2023_A1014_GIP _ACOM_0001,GIP FORINVAL,COMPIEGNE,COMPIEGNE,60159,X,X
2023_A1459_IRFA_ACOM_0001,IRFA,COMPIEGNE,COMPIEGNE,60159,X,X
2023_A0093_GIP _AAVE_0001,GIP FCIP LILLE,AVESNES SUR HELPE,LE QUESNOY,59481,X,
2023_A0093_GIP _AVAL_0001,GIP FCIP LILLE,VALENCIENNES,CONDE SUR ESCAUT,59153,X,X
2023_A1462_ADEQ_ASEN_0001,ADEQUATION,SENLIS,CREIL,60175,X,X
2023_A0093_GIP _ADOU_0001,GIP FCIP LILLE,DOUAI,ORCHIES,59449,X,
2023_A0093_GIP _ADOU_0001,GIP FCIP LILLE,DOUAI,SOMAIN,59574,X,
2023_A0093_GIP _ADOU_0001,GIP FCIP LILLE,DOUAI,ANICHE,59008,X,
2023_A1314_ECOL_ASEN_0001,APFE 5 CANTONS,SENLIS,CREIL,60175,X,X
2023_A0093_GIP _ADKM_0001,GIP FCIP LILLE,DUNKERQUE MARITIME,GRAVELINES,59273,X,
2023_A0093_GIP _ADKM_0001,GIP FCIP LILLE,DUNKERQUE MARITIME,GRANDE SYNTHE,59271,X,
2023_A0093_GIP _ADKM_0001,GIP FCIP LILLE,DUNKERQUE MARITIME,BERGUES,59067,X,
2023_A1459_IRFA_ASEN_0001,IRFA,SENLIS,CREIL,60175,X,X
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,VILLENEUVE D'ASCQ,59009,X,
2023_A1314_ECOL_ASEN_0001,APFE 5 CANTONS,SENLIS,CREPY EN VALOIS,60176,X,X
2023_A0456_AREP_AVAL_0001,AREP,VALENCIENNES,DENAIN,59172,X,X
2023_A0163_INST_AVAL_0001,INSTEP,VALENCIENNES,DENAIN,59172,X,X
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,HALLUIN,59279,X,
